Name,Ingredients
Balu shahi,"Maida flour, yogurt, oil, sugar"
Boondi,"Gram flour, ghee, sugar"
Gajar ka halwa,"Carrots, milk, sugar, ghee, cashews, raisins"
Ghevar,"Flour, ghee, kewra, milk, clarified butter, sugar, almonds, pistachio, saffron, green cardamom"
Gulab jamun,"Milk powder, plain flour, baking powder, ghee, milk, sugar, water, rose water"
Imarti,"Sugar syrup, lentil flour"
Jalebi,"Maida, corn flour, baking soda, vinegar, curd, water, turmeric, saffron, cardamom"
Kaju katli,"Cashews, ghee, cardamom, sugar"
Kalakand,"Milk, cottage cheese, sugar"
Kheer,"Milk, rice, sugar, dried fruits"
Laddu,"Gram flour, ghee, sugar"
Lassi,"Yogurt, milk, nuts, sugar"
Nankhatai,"Refined flour, besan, ghee, powdered sugar, yoghurt, green cardamom"
Petha,"Firm white pumpkin, sugar, kitchen lime, alum powder"
Phirni,"Rice, sugar, nuts"
Rabri,"Condensed milk, sugar, spices, nuts"
Sheera,"Semolina, ghee, nuts, milk"
Singori,"Khoa, coconut, molu leaf"
Sohan halwa,"Corn flour, ghee, dry fruits"
Sohan papdi,"Gram flour, ghee, sugar, milk, cardamom"
Chhena jalebi,"Chhena, sugar, ghee"
Chhena kheeri,"Chhena, sugar, milk"
Chhena poda,"Sugar, chenna cheese"
Cham cham,"Flour, cream, sugar, saffron, lemon juice, coconut flakes"
Kheer sagar,"Chenna, condensed milk, sugar, saffron, cardamom"
Ledikeni,"Chhena, sugar, ghee"
Lyangcha,"Flour, fried milk power, sugar syrup"
Malapua,"Yoghurt, refined flour, ghee, fennel seeds"
Mihidana,"Besan flour, sugar, ghee"
Misti doi,"Milk, jaggery"
Pantua,"Chhena, sugar, ghee, flour"
Pithe,"Rice flour, wheat flour"
Rasabali,"Chenna, sweetened milk"
Ras malai,"Chhena, reduced milk, pistachio"
Rasgulla,"Chhena, sugar, cardamom"
Sandesh,"Milk, sugar, saffron, cardamom"
Adhirasam,"Rice flour, jaggery, ghee, vegetable oil, elachi"
Ariselu,"Rice flour, jaggery, ghee"
Bandar laddu,"Besan, jaggery, cardamom powder, ghee, cashews and raisins, jaggery syrup, sugar"
Chikki,"Peanuts, jaggery"
